#WAVENUMBER	 TRANSMITTANCE
#cm^(-1)	 %
#DECIMALSYMBOL	 .
299.9089	 127.0863
300.3910	 88.7124
300.8732	 75.9329
301.3554	 122.1498
301.8375	 150.0000
302.3197	 150.0000
302.8019	 144.7564
303.2840	 -1.0000
303.7662	 -1.0000
304.2484	 -1.0000
304.7305	 4.8039
305.2127	 56.3959
305.6949	 75.9285
306.1770	 -1.0000
306.6592	 150.0000
307.1414	 150.0000
307.6236	 142.5997
308.1057	 36.2283
308.5879	 13.8091
309.0701	 -1.0000
309.5522	 -1.0000
310.0344	 38.7071
310.5166	 89.7337
310.9987	 41.0291
311.4809	 39.8872
311.9631	 77.7528
312.4452	 76.8070
312.9274	 90.1178
313.4096	 150.0000
313.8917	 150.0000
314.3739	 150.0000
314.8561	 55.9911
315.3383	 106.5583
315.8204	 108.3293
316.3026	 -1.0000
316.7848	 3.8915
317.2669	 129.4441
317.7491	 150.0000
318.2313	 150.0000
318.7134	 137.0377
319.1956	 27.9593
319.6778	 -1.0000
320.1599	 -1.0000
320.6421	 70.3568
321.1243	 150.0000
321.6064	 150.0000
322.0886	 -1.0000
322.5708	 150.0000
323.0529	 150.0000
323.5351	 150.0000
324.0173	 119.7045
324.4995	 150.0000
324.9816	 -1.0000
325.4638	 53.9230
325.9460	 -1.0000
326.4281	 18.6007
326.9103	 66.3202
327.3925	 -0.8399
327.8746	 16.1263
328.3568	 101.7214
328.8390	 137.8593
329.3211	 89.1460
329.8033	 150.0000
330.2855	 150.0000
330.7676	 29.6654
331.2498	 57.5488
331.7320	 72.7260
332.2142	 53.3063
332.6963	 38.2667
333.1785	 65.6451
333.6607	 101.0591
334.1428	 87.8414
334.6250	 17.5322
335.1072	 -1.0000
335.5893	 -1.0000
336.0715	 -1.0000
336.5537	 -1.0000
337.0358	 -1.0000
337.5180	 101.9771
338.0002	 149.5917
338.4823	 13.2861
338.9645	 -1.0000
339.4467	 93.5683
339.9288	 85.2227
340.4110	 68.1647
340.8932	 105.0607
341.3754	 150.0000
341.8575	 64.9369
342.3397	 -1.0000
342.8219	 150.0000
